start time 0:hr:min:sec,end time 0:hr:min:sec,Annotations,Layer,Index
0:00:00,0:03:09[.9] [.915],"Electronic tone with low pitch [bass, vibrational] and low volume that vary in consistent intervals",,
0:00:14,0:03:09[.9] [.915],"Static underlying [distorting] original tone becomes audible, increases in volume",,
0:00:15[.573],0:00:15[.681],Pop with hard onset and offset,,
0:00:18[.718],0:00:19[.212],"Friction sound, like light sandpaper on wood [but probably a sniffle]",,
0:00:19[.4] [.443],0:00:19[.7] [.736],Click with soft onset and offset,,
0:00:21[.355],0:00:34[] [.723],"Oana's voice speaking slowly with clearly-defined words. The words are all audible, but intermingled into the backing track, which is about the same volume as the voice. Generally harder onset, with sometimes soft offset. Language invoking movement and manipulation, such as ""malleable,"" ""brute"" and ""operating."" This embodied language is juxtaposed with its framing as the action of the distant, yet known ""subject."" There is an audible echo.",,
0:00:24[.6] [.657],0:00:34[.137],"Quiet, fluctuating high-pitched electronic tone drifts in and out of audibility, with/behind other components of the backing track ",,
0:00:35[.957],0:00:36[.1] [.142],Pop with hard onset and soft offset,,
0:00:36[.3] [.311],0:00:36[.6] [.604],"Quiet, soft, distant-sounding friction sound",,
0:00:37[.267],0:00:48[.8] [.893],"Loud whoosh sound with hard onset and soft offset, like a plane taking off overhead",,
0:00:48[.909],0:00:55[.0] [.076],"Several low-pitched voices, speaking quickly in short sentences and varying volumes, distorted and distinct as if speaking through radios. Militaristic, observational terms, such as ""wait for movement"" and ""standby."" Some unintelligible language due to fast speech, low volume, and sound of backing track. ",,
0:01:01[.598],0:01:01[.768],Pop with hard onset and soft offset,,
0:01:02[.616],0:02:09[.133],"Oana's voice speaking at a moderate speed, often with pauses between phrases and words. There is an audible echo.",,
0:01:05[.1] [.133],0:01:28[] [.423],"Tapping and rolling sounds, like pool balls rolling down steps",,
0:01:35[.9] [.997],0:02:03[.7] [.783],"Sporadic mid-volume popping/crinkling sound in the foreground, like balling up a piece of paper",,
0:01:40[.628],0:02:92[.260],"Sporadic mid-volume rolling sound, like a pool ball rolling across a table",,
0:01:53[.965],0:01:54[.418],Quiet breathy/blowing sound,,
0:01:59[.193],0:01:59[.585],"Loud tap, like two pool balls colliding",,
0:02:09[.814],0:02:11[.728],Crescendo tone with light static distortion,,
0:02:11[.728],0:02:18[.026],"Loud windy sound, like a jet taking off overhead",,
0:02:18[.026],0:02:27[.433],"Quiet, consistant vibrating sound",,
0:02:19[.097],0:02:27[.392],"Polyphonic brassy buzz, which fades in to a loud peak volume and then fades out",,
0:02:28[.6] [.626],0:02:31[.6] [.652],Mid-volume windy sound,,
0:02:31[.590],0:02:31[.8] [.879],"Quiet, high-pitched pop with hard onset and soft offset",,
0:02:31[.644],0:02:31[.9] [.950],"Mid-volume, high pitch pop with hard onset and soft offset",,
0:02:32[.589],0:02:32[.7] [62],"Mid-volume, low pitch crack with hard onset and soft offset ",,
0:02:33[.094],0:02:42[.956],"Oana's voice speaking in a solemn tone and at medium volume, with pauses and hard onset and generally aspirant offset. There is an audible echo.",,
0:02:36[.53] [.537],0:02:36[.61] [.614],"Two low volume, mid-pitch pops with soft onset and offset",,
0:02:40[.67] [.672],0:02:40[.7] [.718],"Mid-volume, mid-pitch pop with hard onset and soft offset",,
0:02:43[.85] [.856],0:02:44[.1] [.155],"Acute mid-pitch crack sound with echo [likely in distance; hard onset, soft offset]",,
0:02:44[.7] [.772],0:02:44[.8] [.816],"Mid-pitch, mid-volume pop with hard onset and offset",,
0:02:47[.6] [.680],0:02:48[.9] [.962],"Three consecutive quiet, high-pitch static/distortion sounds with very soft onset and offset",,
0:02:52[.64] [.640],0:02:54[.2] [.260],"Series of quiet mid-pitch pops/cracks with soft onset and offset, accompained by quiet, mid-pitch static",,
0:02:56[.22] [.220],0:02:57[.34] [.349],"Series of high-pitched, quiet, tinny clicks with soft onset and offest (possible echo)",,
0:03:02[.34] [.341],0:03:05[.7] [.761],"Acute, moderate increase in volume and pitch of [underlying] tone which tapers off slowly",,
0:03:05[.7] [.761],0:03:06[.5] [.550],"Series of mid-volume, static/distortion sounds that blend into one another",,
0:03:09[.9] [.915],0:03:45[.54] [.542],Consistant static tone across all pitches but focused on low pitches with soft onset and offset,,
0:03:09[.9] [.915],0:03:12[.87] [.873],[Underlying] tone fades out slowly,,
0:03:12[.87] [.873],0:03:43[.3] [.354],"Single, loud, deep voice speaking quickly with hard onset and offset (in both words and individual syllables). Presents as voice-to-text software due to lack of typical speech modulation for sentence flow and word connotation [i.e. extremely consistant intonation and speed]. Semantic markers of multi-sided conversation (e.g. ""Right? Yeah.""). Moderate echo.",,
0:03:45[.07] [.071],0:04:40[.86] [.863],"Return to baseline lectronic tone with low pitch [bass, vibrational] and low volume that vary in consistent intervals",,
0:03:49[.11] [.116],0:03:49[.24] [.244],"Mid to high volume, mid-pitch pop with hard onset and offset and some echo",,
0:03:51[.10] [.109],0:03:51[.31] [.314],Zip distortion sound [rapid steps up] with soft onset and offset ,,
0:03:53[.21] [.215],0:03:55[.8] [.854],"Mid-volume, high pitch pop with hard onset and offset, followed by mid-pitch, mid-volume static and occasional higher-pitch, low-volume pops",,
0:03:56[.36] [.363],0:03:57[.0] [.035],"Low-volume, mid to high frequency static and pops with soft onset and offset",,
0:03:57[.31] [.313],0:03:57[.34] [.349],"High-pitch, low-volume pop with hard onset and soft offset",,
0:03:57[.36] [.363],0:04:40[.7] [.732],"Oana's voice, speaking at mid to low volume, with hard onset and soft offset of words, as well as generally long pauses between words and phrases, although speaking speed is highly variable",,
0:04:01[.34] [.341],0:04:01[.51] [.510],"High-pitch, mid-volume click with soft onset and offset",,
0:04:13[.59] [.590],0:04:13[.63] [.631],"Mid-pitch, mid-volume pop with hard onset and soft offset",,
0:04:19[.62] [.625],0:04:3[8] [.817],"Generally mid-pitch, low-volume polyphonic rumble/static  ",,
0:04:23[.206],0:04:23[.751],"High volume, low/mid pitch tap (like pool balls hitting) with hard onset and soft offset",,
0:04:38[.03] [.032],0:04:38[.12] [.129],"Mid-volume, mid-pitch pop with hard onset and offset",,
0:04:42[.12] [.120],0:04:42[.20] [.208,"Mid-volume, mid-pitch pop with hard onset and offset",,
